meta_solver,seed,iteration,full_exploitability,runtime_s
alpha_rank,4,9,0.189417,115.4
alpha_rank,4,10,0.156484,115.4
alpha_rank,4,11,0.150836,115.4
alpha_rank,4,12,0.121584,115.4
alpha_rank,4,13,0.102119,115.4
alpha_rank,4,14,0.083159,115.4
regret_matching,0,0,0.458333,117.1
regret_matching,0,1,0.291620,117.1
regret_matching,0,2,0.183767,117.1
regret_matching,0,3,0.153371,117.1
regret_matching,0,4,0.215172,117.1
regret_matching,0,5,0.102650,117.1
regret_matching,0,6,0.083647,117.1
regret_matching,0,7,0.083388,117.1
regret_matching,0,8,0.083331,117.1
regret_matching,0,9,0.083331,117.1
regret_matching,0,10,0.084554,117.1
regret_matching,0,11,0.070496,117.1
regret_matching,0,12,0.056008,117.1
regret_matching,0,13,0.056787,117.1
regret_matching,0,14,0.058804,117.1
regret_matching,1,0,0.458333,114.1
regret_matching,1,1,0.166665,114.1
regret_matching,1,2,0.221974,114.1
regret_matching,1,3,0.191272,114.1
regret_matching,1,4,0.155901,114.1
regret_matching,1,5,0.163411,114.1
regret_matching,1,6,0.163477,114.1
regret_matching,1,7,0.140073,114.1
regret_matching,1,8,0.142716,114.1
regret_matching,1,9,0.117901,114.1
regret_matching,1,10,0.119175,114.1
regret_matching,1,11,0.118169,114.1
regret_matching,1,12,0.118781,114.1
regret_matching,1,13,0.114289,114.1
regret_matching,1,14,0.118068,114.1
regret_matching,2,0,0.458333,113.7
regret_matching,2,1,0.166665,113.7
regret_matching,2,2,0.202088,113.7
regret_matching,2,3,0.017968,113.7
regret_matching,2,4,0.124004,113.7
regret_matching,2,5,0.171198,113.7
regret_matching,2,6,0.084725,113.7
regret_matching,2,7,0.072920,113.7
regret_matching,2,8,0.072926,113.7
regret_matching,2,9,0.064444,113.7
regret_matching,2,10,0.064998,113.7
regret_matching,2,11,0.069104,113.7
regret_matching,2,12,0.062319,113.7
regret_matching,2,13,0.061993,113.7
regret_matching,2,14,0.065197,113.7
regret_matching,3,0,0.458333,113.3
regret_matching,3,1,0.249998,113.3
regret_matching,3,2,0.183330,113.3
regret_matching,3,3,0.155442,113.3
regret_matching,3,4,0.166644,113.3
regret_matching,3,5,0.060471,113.3
regret_matching,3,6,0.131043,113.3
regret_matching,3,7,0.136112,113.3
regret_matching,3,8,0.014114,113.3
regret_matching,3,9,0.021140,113.3
regret_matching,3,10,0.018666,113.3
