iteration,p0_avg_rock,p0_avg_paper,p0_avg_scissors,p1_avg_rock,p1_avg_paper,p1_avg_scissors,p0_best_response,p1_best_response,full_exploitability
214,0.348837,0.334884,0.316279,0.348837,0.334884,0.316279,1,1,3.255814e-02
215,0.347222,0.337963,0.314815,0.347222,0.337963,0.314815,1,1,3.240741e-02
216,0.345622,0.341014,0.313364,0.345622,0.341014,0.313364,1,1,3.225806e-02
217,0.344037,0.344037,0.311927,0.344037,0.344037,0.311927,1,1,3.211009e-02
218,0.342466,0.347032,0.310502,0.342466,0.347032,0.310502,1,1,3.196347e-02
219,0.340909,0.350000,0.309091,0.340909,0.350000,0.309091,1,1,3.181818e-02
220,0.339367,0.352941,0.307692,0.339367,0.352941,0.307692,1,1,3.167421e-02
221,0.337838,0.355856,0.306306,0.337838,0.355856,0.306306,1,1,3.153153e-02
222,0.336323,0.358744,0.304933,0.336323,0.358744,0.304933,1,1,3.139013e-02
223,0.334821,0.361607,0.303571,0.334821,0.361607,0.303571,1,1,3.125000e-02
224,0.333333,0.364444,0.302222,0.333333,0.364444,0.302222,1,1,3.111111e-02
225,0.331858,0.362832,0.305310,0.331858,0.362832,0.305310,2,2,3.097345e-02
226,0.330396,0.361233,0.308370,0.330396,0.361233,0.308370,2,2,3.083700e-02
227,0.328947,0.359649,0.311404,0.328947,0.359649,0.311404,2,2,3.070175e-02
228,0.327511,0.358079,0.314410,0.327511,0.358079,0.314410,2,2,3.056769e-02
229,0.326087,0.356522,0.317391,0.326087,0.356522,0.317391,2,2,3.043478e-02
230,0.324675,0.354978,0.320346,0.324675,0.354978,0.320346,2,2,3.030303e-02
231,0.323276,0.353448,0.323276,0.323276,0.353448,0.323276,2,2,3.017241e-02
232,0.321888,0.351931,0.326180,0.321888,0.351931,0.326180,2,2,3.004292e-02
233,0.320513,0.350427,0.329060,0.320513,0.350427,0.329060,2,2,2.991453e-02
234,0.319149,0.348936,0.331915,0.319149,0.348936,0.331915,2,2,2.978723e-02
235,0.317797,0.347458,0.334746,0.317797,0.347458,0.334746,2,2,2.966102e-02
236,0.316456,0.345992,0.337553,0.316456,0.345992,0.337553,2,2,2.953586e-02
237,0.315126,0.344538,0.340336,0.315126,0.344538,0.340336,2,2,2.941176e-02
238,0.313808,0.343096,0.343096,0.313808,0.343096,0.343096,2,2,2.928870e-02
239,0.312500,0.341667,0.345833,0.312500,0.341667,0.345833,2,2,2.916667e-02
240,0.311203,0.340249,0.348548,0.311203,0.340249,0.348548,2,2,2.904564e-02
241,0.309917,0.338843,0.351240,0.309917,0.338843,0.351240,2,2,2.892562e-02
242,0.308642,0.337449,0.353909,0.308642,0.337449,0.353909,2,2,2.880658e-02
243,0.307377,0.336066,0.356557,0.307377,0.336066,0.356557,2,2,2.868852e-02
244,0.306122,0.334694,0.359184,0.306122,0.334694,0.359184,2,2,2.857143e-02
245,0.304878,0.333333,0.361789,0.304878,0.333333,0.361789,2,2,2.845528e-02
246,0.307692,0.331984,0.360324,0.307692,0.331984,0.360324,0,0,2.834008e-02
247,0.310484,0.330645,0.358871,0.310484,0.330645,0.358871,0,0,2.822581e-02
248,0.313253,0.329317,0.357430,0.313253,0.329317,0.357430,0,0,2.811245e-02
249,0.316000,0.328000,0.356000,0.316000,0.328000,0.356000,0,0,2.800000e-02
250,0.318725,0.326693,0.354582,0.318725,0.326693,0.354582,0,0,2.788845e-02
251,0.321429,0.325397,0.353175,0.321429,0.325397,0.353175,0,0,2.777778e-02
252,0.324111,0.324111,0.351779,0.324111,0.324111,0.351779,0,0,2.766798e-02
253,0.326772,0.322835,0.350394,0.326772,0.322835,0.350394,0,0,2.755906e-02
254,0.329412,0.321569,0.349020,0.329412,0.321569,0.349020,0,0,2.745098e-02
255,0.332031,0.320312,0.347656,0.332031,0.320312,0.347656,0,0,2.734375e-02
256,0.334630,0.319066,0.346304,0.334630,0.319066,0.346304,0,0,2.723735e-02
257,0.337209,0.317829,0.344961,0.337209,0.317829,0.344961,0,0,2.713178e-02
258,0.339768,0.316602,0.343629,0.339768,0.316602,0.343629,0,0,2.702703e-02
259,0.342308,0.315385,0.342308,0.342308,0.315385,0.342308,0,0,2.692308e-02
260,0.344828,0.314176,0.340996,0.344828,0.314176,0.340996,0,0,2.681992e-02
261,0.347328,0.312977,0.339695,0.347328,0.312977,0.339695,0,0,2.671756e-02
262,0.349810,0.311787,0.338403,0.349810,0.311787,0.338403,0,0,2.661597e-02
263,0.352273,0.310606,0.337121,0.352273,0.310606,0.337121,0,0,2.651515e-02
264,0.354717,0.309434,0.335849,0.354717,0.309434,0.335849,0,0,2.641509e-02
265,0.357143,0.308271,0.334586,0.357143,0.308271,0.334586,0,0,2.631579e-02
266,0.359551,0.307116,0.333333,0.359551,0.307116,0.333333,0,0,2.621723e-02
267,0.361940,0.305970,0.332090,0.361940,0.305970,0.332090,0,0,2.985075e-02
268,0.360595,0.308550,0.330855,0.360595,0.308550,0.330855,1,1,2.973978e-02
269,0.359259,0.311111,0.329630,0.359259,0.311111,0.329630,1,1,2.962963e-02
270,0.357934,0.313653,0.328413,0.357934,0.313653,0.328413,1,1,2.952030e-02
271,0.356618,0.316176,0.327206,0.356618,0.316176,0.327206,1,1,2.941176e-02
272,0.355311,0.318681,0.326007,0.355311,0.318681,0.326007,1,1,2.930403e-02
273,0.354015,0.321168,0.324818,0.354015,0.321168,0.324818,1,1,2.919708e-02
274,0.352727,0.323636,0.323636,0.352727,0.323636,0.323636,1,1,2.909091e-02
275,0.351449,0.326087,0.322464,0.351449,0.326087,0.322464,1,1,2.898551e-02
276,0.350181,0.328520,0.321300,0.350181,0.328520,0.321300,1,1,2.888087e-02
277,0.348921,0.330935,0.320144,0.348921,0.330935,0.320144,1,1,2.877698e-02
278,0.347670,0.333333,0.318996,0.347670,0.333333,0.318996,1,1,2.867384e-02
279,0.346429,0.335714,0.317857,0.346429,0.335714,0.317857,1,1,2.857143e-02
280,0.345196,0.338078,0.316726,0.345196,0.338078,0.316726,1,1,2.846975e-02
281,0.343972,0.340426,0.315603,0.343972,0.340426,0.315603,1,1,2.836879e-02
282,0.342756,0.342756,0.314488,0.342756,0.342756,0.314488,1,1,2.826855e-02
283,0.341549,0.345070,0.313380,0.341549,0.345070,0.313380,1,1,2.816901e-02
284,0.340351,0.347368,0.312281,0.340351,0.347368,0.312281,1,1,2.807018e-02
285,0.339161,0.349650,0.311189,0.339161,0.349650,0.311189,1,1,2.797203e-02
286,0.337979,0.351916,0.310105,0.337979,0.351916,0.310105,1,1,2.787456e-02
287,0.336806,0.354167,0.309028,0.336806,0.354167,0.309028,1,1,2.777778e-02
288,0.335640,0.356401,0.307958,0.335640,0.356401,0.307958,1,1,2.768166e-02
289,0.334483,0.358621,0.306897,0.334483,0.358621,0.306897,1,1,2.758621e-02
290,0.333333,0.360825,0.305842,0.333333,0.360825,0.305842,1,1,2.749141e-02
291,0.332192,0.359589,0.308219,0.332192,0.359589,0.308219,2,2,2.739726e-02
292,0.331058,0.358362,0.310580,0.331058,0.358362,0.310580,2,2,2.730375e-02
293,0.329932,0.357143,0.312925,0.329932,0.357143,0.312925,2,2,2.721088e-02
294,0.328814,0.355932,0.315254,0.328814,0.355932,0.315254,2,2,2.711864e-02
295,0.327703,0.354730,0.317568,0.327703,0.354730,0.317568,2,2,2.702703e-02
296,0.326599,0.353535,0.319865,0.326599,0.353535,0.319865,2,2,2.693603e-02
297,0.325503,0.352349,0.322148,0.325503,0.352349,0.322148,2,2,2.684564e-02
298,0.324415,0.351171,0.324415,0.324415,0.351171,0.324415,2,2,2.675585e-02
299,0.323333,0.350000,0.326667,0.323333,0.350000,0.326667,2,2,2.666667e-02
300,0.322259,0.348837,0.328904,0.322259,0.348837,0.328904,2,2,2.657807e-02
301,0.321192,0.347682,0.331126,0.321192,0.347682,0.331126,2,2,2.649007e-02
302,0.320132,0.346535,0.333333,0.320132,0.346535,0.333333,2,2,2.640264e-02
303,0.319079,0.345395,0.335526,0.319079,0.345395,0.335526,2,2,2.631579e-02
304,0.318033,0.344262,0.337705,0.318033,0.344262,0.337705,2,2,2.622951e-02
305,0.316993,0.343137,0.339869,0.316993,0.343137,0.339869,2,2,2.614379e-02
306,0.315961,0.342020,0.342020,0.315961,0.342020,0.342020,2,2,2.605863e-02
307,0.314935,0.340909,0.344156,0.314935,0.340909,0.344156,2,2,2.597403e-02
308,0.313916,0.339806,0.346278,0.313916,0.339806,0.346278,2,2,2.588997e-02
309,0.312903,0.338710,0.348387,0.312903,0.338710,0.348387,2,2,2.580645e-02
310,0.311897,0.337621,0.350482,0.311897,0.337621,0.350482,2,2,2.572347e-02
311,0.310897,0.336538,0.352564,0.310897,0.336538,0.352564,2,2,2.564103e-02
312,0.309904,0.335463,0.354633,0.309904,0.335463,0.354633,2,2,2.555911e-02
