iteration,p0_a1,p0_a2,p0_a3,p1_a1,p1_a2,p1_a3,br_p0,br_p1,full_exploitability
196,0.343434,0.515152,0.141414,0.222222,0.520202,0.257576,1,2,0.155928
197,0.341709,0.517588,0.140704,0.221106,0.517588,0.261307,1,2,0.155867
198,0.340000,0.520000,0.140000,0.220000,0.515000,0.265000,1,2,0.155800
199,0.338308,0.522388,0.139303,0.218905,0.512438,0.268657,1,2,0.155726
200,0.336634,0.524752,0.138614,0.217822,0.509901,0.272277,1,2,0.155647
201,0.334975,0.527094,0.137931,0.216749,0.507389,0.275862,1,2,0.155561
202,0.333333,0.529412,0.137255,0.215686,0.504902,0.279412,1,2,0.155469
203,0.331707,0.531707,0.136585,0.214634,0.502439,0.282927,1,2,0.155372
204,0.330097,0.533981,0.135922,0.213592,0.500000,0.286408,1,2,0.155269
205,0.328502,0.536232,0.135266,0.212560,0.497585,0.289855,1,2,0.155161
206,0.326923,0.538462,0.134615,0.211538,0.495192,0.293269,1,2,0.155048
207,0.325359,0.540670,0.133971,0.210526,0.492823,0.296651,1,2,0.154930
208,0.323810,0.542857,0.133333,0.209524,0.490476,0.300000,1,2,0.154807
209,0.322275,0.545024,0.132701,0.208531,0.488152,0.303318,1,2,0.154680
210,0.320755,0.547170,0.132075,0.207547,0.485849,0.306604,1,2,0.154548
211,0.319249,0.549296,0.131455,0.206573,0.483568,0.309859,1,2,0.154412
212,0.317757,0.551402,0.130841,0.205607,0.481308,0.313084,1,2,0.154271
213,0.316279,0.553488,0.130233,0.204651,0.479070,0.316279,1,2,0.154127
214,0.314815,0.555556,0.129630,0.203704,0.476852,0.319444,1,2,0.153978
215,0.313364,0.557604,0.129032,0.202765,0.474654,0.322581,1,2,0.153826
216,0.311927,0.559633,0.128440,0.201835,0.472477,0.325688,1,2,0.153670
217,0.310502,0.561644,0.127854,0.200913,0.470320,0.328767,1,2,0.153510
218,0.309091,0.563636,0.127273,0.200000,0.468182,0.331818,1,2,0.153347
219,0.307692,0.565611,0.126697,0.199095,0.466063,0.334842,1,2,0.153181
220,0.306306,0.567568,0.126126,0.198198,0.463964,0.337838,1,2,0.153011
221,0.304933,0.569507,0.125561,0.197309,0.461883,0.340807,1,2,0.152838
222,0.303571,0.571429,0.125000,0.196429,0.459821,0.343750,1,2,0.152663
223,0.302222,0.573333,0.124444,0.195556,0.457778,0.346667,1,2,0.152484
224,0.300885,0.575221,0.123894,0.194690,0.455752,0.349558,1,2,0.152302
225,0.299559,0.577093,0.123348,0.193833,0.453744,0.352423,1,2,0.152118
226,0.298246,0.578947,0.122807,0.192982,0.451754,0.355263,1,2,0.151931
227,0.296943,0.580786,0.122271,0.192140,0.449782,0.358079,1,2,0.151742
228,0.295652,0.582609,0.121739,0.191304,0.447826,0.360870,1,2,0.151550
229,0.294372,0.584416,0.121212,0.190476,0.445887,0.363636,1,2,0.151356
230,0.293103,0.586207,0.120690,0.189655,0.443966,0.366379,1,2,0.151159
