iteration,p0_avg_heads,p0_avg_tails,p1_avg_heads,p1_avg_tails,p0_best_response,p1_best_response,full_exploitability
152,0.503268,0.496732,0.555556,0.444444,0,0,5.882353e-02
153,0.506494,0.493506,0.551948,0.448052,0,1,5.844156e-02
154,0.509677,0.490323,0.548387,0.451613,0,1,5.806452e-02
155,0.512821,0.487179,0.544872,0.455128,0,1,5.769231e-02
156,0.515924,0.484076,0.541401,0.458599,0,1,5.732484e-02
157,0.518987,0.481013,0.537975,0.462025,0,1,5.696203e-02
158,0.522013,0.477987,0.534591,0.465409,0,1,5.660377e-02
159,0.525000,0.475000,0.531250,0.468750,0,1,5.625000e-02
160,0.527950,0.472050,0.527950,0.472050,0,1,5.590062e-02
161,0.530864,0.469136,0.524691,0.475309,0,1,5.555556e-02
162,0.533742,0.466258,0.521472,0.478528,0,1,5.521472e-02
163,0.536585,0.463415,0.518293,0.481707,0,1,5.487805e-02
164,0.539394,0.460606,0.515152,0.484848,0,1,5.454545e-02
165,0.542169,0.457831,0.512048,0.487952,0,1,5.421687e-02
166,0.544910,0.455090,0.508982,0.491018,0,1,5.389222e-02
167,0.547619,0.452381,0.505952,0.494048,0,1,5.357143e-02
168,0.550296,0.449704,0.502959,0.497041,0,1,5.325444e-02
169,0.552941,0.447059,0.500000,0.500000,0,1,5.294118e-02
170,0.555556,0.444444,0.497076,0.502924,0,1,5.847953e-02
171,0.552326,0.447674,0.494186,0.505814,1,1,5.813953e-02
172,0.549133,0.450867,0.491329,0.508671,1,1,5.780347e-02
173,0.545977,0.454023,0.488506,0.511494,1,1,5.747126e-02
174,0.542857,0.457143,0.485714,0.514286,1,1,5.714286e-02
175,0.539773,0.460227,0.482955,0.517045,1,1,5.681818e-02
176,0.536723,0.463277,0.480226,0.519774,1,1,5.649718e-02
177,0.533708,0.466292,0.477528,0.522472,1,1,5.617978e-02
178,0.530726,0.469274,0.474860,0.525140,1,1,5.586592e-02
179,0.527778,0.472222,0.472222,0.527778,1,1,5.555556e-02
180,0.524862,0.475138,0.469613,0.530387,1,1,5.524862e-02
181,0.521978,0.478022,0.467033,0.532967,1,1,5.494505e-02
182,0.519126,0.480874,0.464481,0.535519,1,1,5.464481e-02
183,0.516304,0.483696,0.461957,0.538043,1,1,5.434783e-02
184,0.513514,0.486486,0.459459,0.540541,1,1,5.405405e-02
185,0.510753,0.489247,0.456989,0.543011,1,1,5.376344e-02
186,0.508021,0.491979,0.454545,0.545455,1,1,5.347594e-02
187,0.505319,0.494681,0.452128,0.547872,1,1,5.319149e-02
188,0.502646,0.497354,0.449735,0.550265,1,1,5.291005e-02
189,0.500000,0.500000,0.447368,0.552632,1,1,5.263158e-02
190,0.497382,0.502618,0.450262,0.549738,1,0,5.235602e-02
191,0.494792,0.505208,0.453125,0.546875,1,0,5.208333e-02
192,0.492228,0.507772,0.455959,0.544041,1,0,5.181347e-02
193,0.489691,0.510309,0.458763,0.541237,1,0,5.154639e-02
194,0.487179,0.512821,0.461538,0.538462,1,0,5.128205e-02
