step,p0_heads,p1_heads
373,0.659881,0.474387
374,0.677042,0.510940
375,0.691265,0.541934
376,0.652303,0.509300
377,0.595111,0.556239
378,0.558432,0.521566
379,0.600373,0.473033
380,0.549730,0.518334
381,0.585639,0.477072
382,0.542310,0.515586
383,0.498518,0.473372
384,0.461286,0.437763
385,0.498740,0.477360
386,0.467075,0.447022
387,0.440357,0.421533
388,0.472002,0.454922
389,0.499090,0.483637
390,0.550999,0.433534
391,0.594309,0.391951
392,0.616331,0.429218
393,0.651249,0.388391
394,0.668831,0.426105
395,0.696536,0.385827
396,0.710429,0.423860
397,0.669567,0.402477
398,0.681971,0.435142
399,0.711010,0.390124
400,0.671973,0.372439
401,0.614259,0.429106
402,0.576776,0.405001
403,0.597597,0.439628
404,0.637174,0.396044
405,0.600040,0.376068
406,0.567526,0.359410
407,0.585353,0.394047
408,0.629716,0.353228
409,0.596110,0.339442
410,0.566803,0.327933
411,0.507722,0.386618
412,0.482132,0.367268
413,0.506564,0.403159
414,0.559522,0.362754
415,0.505579,0.417396
416,0.459575,0.465553
417,0.504742,0.429608
418,0.468252,0.397162
419,0.437486,0.370264
420,0.411697,0.348011
421,0.374334,0.398913
422,0.353564,0.371714
423,0.336330,0.349210
424,0.307273,0.399989
425,0.283712,0.444960
426,0.270722,0.409926
427,0.312769,0.453163
428,0.351145,0.490506
429,0.385375,0.522347
430,0.415405,0.549281
431,0.402087,0.518999
432,0.427902,0.541926
433,0.377539,0.590160
434,0.336672,0.629874
435,0.303732,0.662324
436,0.277218,0.688766
437,0.330671,0.639367
438,0.374126,0.664661
439,0.342414,0.687127
440,0.384651,0.707136
441,0.351021,0.724863
442,0.323540,0.739397
443,0.367699,0.754620
444,0.337162,0.766098
445,0.312222,0.775557
446,0.357445,0.787253
447,0.398030,0.796840
448,0.361974,0.804110
449,0.412988,0.761635
450,0.381830,0.768588
451,0.427411,0.783709
452,0.467182,0.795989
453,0.501338,0.806014
454,0.530374,0.814237
455,0.575554,0.772631
456,0.599504,0.786986
457,0.619499,0.798660
458,0.655406,0.757378
459,0.684610,0.718032
460,0.708346,0.681706
461,0.727671,0.648965
462,0.743453,0.619972
463,0.756388,0.594627
464,0.711852,0.602530
465,0.659941,0.535931
466,0.612509,0.478197
467,0.641869,0.455710
468,0.665787,0.511391
469,0.689110,0.483828
470,0.642611,0.435053
471,0.593045,0.467960
472,0.622156,0.444708
473,0.650237,0.499562
474,0.604417,0.452949
475,0.628799,0.499627
476,0.649026,0.539341
477,0.665811,0.572729
478,0.627743,0.533459
479,0.663919,0.487264
480,0.609251,0.528452
481,0.560457,0.563182
482,0.518003,0.592235
483,0.476658,0.543508
484,0.441743,0.501387
485,0.406267,0.540401
486,0.449436,0.575595
487,0.412668,0.607702
488,0.455010,0.636223
489,0.417311,0.661954
490,0.459044,0.684635
491,0.420675,0.704998
492,0.461962,0.722898
493,0.432415,0.677112
494,0.481601,0.625990
495,0.442455,0.652365
496,0.483720,0.676513
497,0.518993,0.696330
498,0.474021,0.716491
499,0.516147,0.669384
500,0.551797,0.626431
501,0.507440,0.574343
502,0.544461,0.534793
503,0.506324,0.563321
504,0.537820,0.529587
505,0.564365,0.500687
506,0.586649,0.476110
507,0.605318,0.455306
508,0.548246,0.405816
509,0.573126,0.388798
510,0.541045,0.419678
511,0.513495,0.446440
512,0.460052,0.395946
513,0.489466,0.381590
514,0.514534,0.369547
515,0.491046,0.398820
516,0.471108,0.424293
517,0.454231,0.446272
518,0.475434,0.435512
519,0.419244,0.381453
520,0.405261,0.407630
521,0.431190,0.398702
522,0.453536,0.391166
523,0.441408,0.413565
524,0.431154,0.432895
525,0.450134,0.426326
526,0.441378,0.442865
527,0.384590,0.384066
528,0.377485,0.406443
529,0.331902,0.354550
530,0.295452,0.312932
531,0.328918,0.308053
532,0.323290,0.338837
533,0.318547,0.366133
534,0.314545,0.390039
535,0.311164,0.410789
536,0.276455,0.357270
537,0.337271,0.423945
538,0.324791,0.450377
539,0.382311,0.509846
540,0.349312,0.457782
541,0.399443,0.508370
542,0.370807,0.464091
543,0.414202,0.507114
544,0.389493,0.469463
545,0.355574,0.512386
546,0.335809,0.473931
547,0.319447,0.441468
548,0.372978,0.404026
549,0.350205,0.377558
550,0.331367,0.355613
551,0.315765,0.337422
552,0.369607,0.308896
553,0.411612,0.350647
554,0.388454,0.335259
555,0.441310,0.304965
556,0.404742,0.358514
557,0.374454,0.407052
558,0.418756,0.378823
559,0.384521,0.349841
560,0.356281,0.326039
561,0.331848,0.373646
562,0.311762,0.416176
563,0.295225,0.453363
564,0.346004,0.503071
565,0.323087,0.460327
566,0.301292,0.498839
567,0.283441,0.531604
568,0.331632,0.573478
569,0.375623,0.608283
570,0.344249,0.634517
571,0.393663,0.592446
572,0.366385,0.615123
573,0.343847,0.634017
574,0.394157,0.667869
575,0.366034,0.614689
576,0.409655,0.644232
577,0.447916,0.668517
578,0.480948,0.688483
579,0.530529,0.638960
580,0.558528,0.664185
