game_size,seed,algorithm,br_calls,full_exploitability
10,3,fictitious_play,8,3.082699e-01
10,3,double_oracle,9,2.220446e-16
10,3,fictitious_play,9,2.774429e-01
10,3,double_oracle,10,2.220446e-16
10,3,fictitious_play,10,2.810495e-01
10,3,double_oracle,11,2.220446e-16
10,3,fictitious_play,11,2.976662e-01
10,3,double_oracle,12,2.220446e-16
10,3,fictitious_play,12,3.408971e-01
10,3,double_oracle,13,2.220446e-16
10,3,fictitious_play,13,3.165473e-01
10,3,double_oracle,14,2.220446e-16
10,3,fictitious_play,14,3.103541e-01
10,3,double_oracle,15,2.220446e-16
10,3,fictitious_play,15,2.909569e-01
10,3,double_oracle,16,2.220446e-16
10,3,fictitious_play,16,3.096196e-01
10,3,double_oracle,17,2.220446e-16
10,3,fictitious_play,17,2.924185e-01
10,3,double_oracle,18,2.220446e-16
10,3,fictitious_play,18,2.770280e-01
10,3,double_oracle,19,2.220446e-16
10,3,fictitious_play,19,2.763746e-01
10,3,double_oracle,20,2.220446e-16
10,3,fictitious_play,20,3.107020e-01
10,3,double_oracle,21,2.220446e-16
10,3,fictitious_play,21,2.965792e-01
10,3,double_oracle,22,2.220446e-16
10,3,fictitious_play,22,3.075547e-01
10,3,double_oracle,23,2.220446e-16
10,3,fictitious_play,23,2.947399e-01
10,3,double_oracle,24,2.220446e-16
10,3,fictitious_play,24,2.829503e-01
10,3,double_oracle,25,2.220446e-16
10,3,fictitious_play,25,2.720676e-01
10,3,double_oracle,26,2.220446e-16
10,3,fictitious_play,26,2.619911e-01
10,3,double_oracle,27,2.220446e-16
10,3,fictitious_play,27,2.526342e-01
10,3,double_oracle,28,2.220446e-16
10,3,fictitious_play,28,2.507284e-01
10,3,double_oracle,29,2.220446e-16
10,3,fictitious_play,29,2.423708e-01
10,3,double_oracle,30,2.220446e-16
10,3,fictitious_play,30,2.345524e-01
10,3,double_oracle,31,2.220446e-16
10,3,fictitious_play,31,2.272226e-01
10,3,double_oracle,32,2.220446e-16
10,3,fictitious_play,32,2.291370e-01
10,3,double_oracle,33,2.220446e-16
10,3,fictitious_play,33,2.223976e-01
10,3,double_oracle,34,2.220446e-16
10,3,fictitious_play,34,2.160434e-01
10,3,double_oracle,35,2.220446e-16
10,3,fictitious_play,35,2.100422e-01
10,3,double_oracle,36,2.220446e-16
10,3,fictitious_play,36,2.043654e-01
10,3,double_oracle,37,2.220446e-16
10,3,fictitious_play,37,1.989874e-01
10,3,double_oracle,38,2.220446e-16
10,3,fictitious_play,38,1.938851e-01
10,3,double_oracle,39,2.220446e-16
10,3,fictitious_play,39,1.890380e-01
10,3,double_oracle,40,2.220446e-16
10,3,fictitious_play,40,1.844273e-01
10,3,double_oracle,41,2.220446e-16
10,3,fictitious_play,41,1.800362e-01
10,3,double_oracle,42,2.220446e-16
10,3,fictitious_play,42,1.758493e-01
10,3,double_oracle,43,2.220446e-16
10,3,fictitious_play,43,1.718527e-01
10,3,double_oracle,44,2.220446e-16
10,3,fictitious_play,44,1.681595e-01
10,3,double_oracle,45,2.220446e-16
10,3,fictitious_play,45,1.645039e-01
10,3,double_oracle,46,2.220446e-16
10,3,fictitious_play,46,1.610038e-01
10,3,double_oracle,47,2.220446e-16
10,3,fictitious_play,47,1.576495e-01
10,3,double_oracle,48,2.220446e-16
10,3,fictitious_play,48,1.544322e-01
10,3,double_oracle,49,2.220446e-16
10,3,fictitious_play,49,1.534339e-01
10,3,double_oracle,50,2.220446e-16
10,3,fictitious_play,50,1.573339e-01
10,3,double_oracle,51,2.220446e-16
10,3,fictitious_play,51,1.583958e-01
10,3,double_oracle,52,2.220446e-16
10,3,fictitious_play,52,1.554072e-01
10,3,double_oracle,53,2.220446e-16
10,3,fictitious_play,53,1.525293e-01
10,3,double_oracle,54,2.220446e-16
10,3,fictitious_play,54,1.497560e-01
10,3,double_oracle,55,2.220446e-16
10,3,fictitious_play,55,1.470818e-01
10,3,double_oracle,56,2.220446e-16
10,3,fictitious_play,56,1.445014e-01
10,3,double_oracle,57,2.220446e-16
10,3,fictitious_play,57,1.420100e-01
10,3,double_oracle,58,2.220446e-16
10,3,fictitious_play,58,1.396031e-01
10,3,double_oracle,59,2.220446e-16
10,3,fictitious_play,59,1.372764e-01
10,3,double_oracle,60,2.220446e-16
10,3,fictitious_play,60,1.369025e-01
10,4,double_oracle,1,1.242094e+00
10,4,fictitious_play,1,1.297165e+00
10,4,double_oracle,2,1.008984e+00
10,4,fictitious_play,2,8.647769e-01
10,4,double_oracle,3,7.543390e-01
10,4,fictitious_play,3,6.904827e-01
10,4,double_oracle,4,9.696004e-01
10,4,fictitious_play,4,5.523862e-01
10,4,double_oracle,5,3.518215e-01
10,4,fictitious_play,5,5.050452e-01
10,4,double_oracle,6,2.947369e-01
10,4,fictitious_play,6,4.328959e-01
10,4,double_oracle,7,3.541402e-01
10,4,fictitious_play,7,4.944574e-01
10,4,double_oracle,8,2.644668e-01
10,4,fictitious_play,8,4.395177e-01
10,4,double_oracle,9,3.538836e-16
10,4,fictitious_play,9,3.955659e-01
10,4,double_oracle,10,3.538836e-16
10,4,fictitious_play,10,3.672177e-01
10,4,double_oracle,11,3.538836e-16
10,4,fictitious_play,11,3.366162e-01
10,4,double_oracle,12,3.538836e-16
10,4,fictitious_play,12,3.107227e-01
10,4,double_oracle,13,3.538836e-16
10,4,fictitious_play,13,2.885282e-01
10,4,double_oracle,14,3.538836e-16
10,4,fictitious_play,14,2.692930e-01
10,4,double_oracle,15,3.538836e-16
10,4,fictitious_play,15,2.561588e-01
10,4,double_oracle,16,3.538836e-16
10,4,fictitious_play,16,2.410906e-01
10,4,double_oracle,17,3.538836e-16
10,4,fictitious_play,17,2.572588e-01
10,4,double_oracle,18,3.538836e-16
10,4,fictitious_play,18,2.437189e-01
10,4,double_oracle,19,3.538836e-16
10,4,fictitious_play,19,2.472259e-01
10,4,double_oracle,20,3.538836e-16
10,4,fictitious_play,20,2.741665e-01
10,4,double_oracle,21,3.538836e-16
10,4,fictitious_play,21,2.617044e-01
10,4,double_oracle,22,3.538836e-16
10,4,fictitious_play,22,2.543267e-01
10,4,double_oracle,23,3.538836e-16
10,4,fictitious_play,23,2.437298e-01
10,4,double_oracle,24,3.538836e-16
10,4,fictitious_play,24,2.339806e-01
10,4,double_oracle,25,3.538836e-16
10,4,fictitious_play,25,2.340216e-01
10,4,double_oracle,26,3.538836e-16
10,4,fictitious_play,26,2.254401e-01
10,4,double_oracle,27,3.538836e-16
10,4,fictitious_play,27,2.210773e-01
10,4,double_oracle,28,3.538836e-16
10,4,fictitious_play,28,2.180222e-01
10,4,double_oracle,29,3.538836e-16
10,4,fictitious_play,29,2.107548e-01
10,4,double_oracle,30,3.538836e-16
10,4,fictitious_play,30,2.039563e-01
10,4,double_oracle,31,3.538836e-16
10,4,fictitious_play,31,1.975826e-01
10,4,double_oracle,32,3.538836e-16
10,4,fictitious_play,32,1.915953e-01
10,4,double_oracle,33,3.538836e-16
10,4,fictitious_play,33,1.859601e-01
10,4,double_oracle,34,3.538836e-16
10,4,fictitious_play,34,1.806470e-01
10,4,double_oracle,35,3.538836e-16
10,4,fictitious_play,35,1.756290e-01
10,4,double_oracle,36,3.538836e-16
10,4,fictitious_play,36,1.708823e-01
10,4,double_oracle,37,3.538836e-16
10,4,fictitious_play,37,1.696976e-01
10,4,double_oracle,38,3.538836e-16
10,4,fictitious_play,38,1.653464e-01
10,4,double_oracle,39,3.538836e-16
10,4,fictitious_play,39,1.612127e-01
10,4,double_oracle,40,3.538836e-16
10,4,fictitious_play,40,1.601933e-01
10,4,double_oracle,41,3.538836e-16
10,4,fictitious_play,41,1.791818e-01
10,4,double_oracle,42,3.538836e-16
10,4,fictitious_play,42,2.104469e-01
10,4,double_oracle,43,3.538836e-16
10,4,fictitious_play,43,2.056640e-01
10,4,double_oracle,44,3.538836e-16
10,4,fictitious_play,44,2.010937e-01
10,4,double_oracle,45,3.538836e-16
10,4,fictitious_play,45,1.968185e-01
10,4,double_oracle,46,3.538836e-16
10,4,fictitious_play,46,1.926309e-01
10,4,double_oracle,47,3.538836e-16
10,4,fictitious_play,47,1.886177e-01
10,4,double_oracle,48,3.538836e-16
10,4,fictitious_play,48,1.848948e-01
10,4,double_oracle,49,3.538836e-16
10,4,fictitious_play,49,1.811969e-01
10,4,double_oracle,50,3.538836e-16
10,4,fictitious_play,50,1.776440e-01
10,4,double_oracle,51,3.538836e-16
10,4,fictitious_play,51,1.794688e-01
10,4,double_oracle,52,3.538836e-16
10,4,fictitious_play,52,1.781581e-01
10,4,double_oracle,53,3.538836e-16
10,4,fictitious_play,53,1.752510e-01
10,4,double_oracle,54,3.538836e-16
10,4,fictitious_play,54,1.791448e-01
10,4,double_oracle,55,3.538836e-16
10,4,fictitious_play,55,1.759458e-01
10,4,double_oracle,56,3.538836e-16
10,4,fictitious_play,56,1.728590e-01
10,4,double_oracle,57,3.538836e-16
10,4,fictitious_play,57,1.698787e-01
10,4,double_oracle,58,3.538836e-16
10,4,fictitious_play,58,1.669994e-01
10,4,double_oracle,59,3.538836e-16
10,4,fictitious_play,59,1.642161e-01
10,4,double_oracle,60,3.538836e-16
10,4,fictitious_play,60,1.615240e-01
50,0,double_oracle,1,2.028788e+00
50,0,fictitious_play,1,1.721157e+00
50,0,double_oracle,2,2.657898e+00
50,0,fictitious_play,2,1.284217e+00
50,0,double_oracle,3,1.301859e+00
50,0,fictitious_play,3,1.056497e+00
50,0,double_oracle,4,1.953114e+00
50,0,fictitious_play,4,9.367254e-01
50,0,double_oracle,5,1.495901e+00
50,0,fictitious_play,5,7.806045e-01
50,0,double_oracle,6,1.682558e+00
50,0,fictitious_play,6,8.626893e-01
50,0,double_oracle,7,1.389667e+00
50,0,fictitious_play,7,8.786177e-01
50,0,double_oracle,8,1.014957e+00
50,0,fictitious_play,8,9.552251e-01
50,0,double_oracle,9,9.334326e-01
50,0,fictitious_play,9,8.597026e-01
50,0,double_oracle,10,7.429139e-01
50,0,fictitious_play,10,7.815478e-01
50,0,double_oracle,11,9.608484e-01
50,0,fictitious_play,11,7.164188e-01
50,0,double_oracle,12,8.419488e-01
50,0,fictitious_play,12,7.136964e-01
